matchdate,ko,hometeam,awayteam,matchhomescore,matchawayscore,week
2013-02-02,13:30,Wales,Ireland,22,30,1
2013-02-02,16:00,England,Scotland,38,18,1
2013-02-03,15:00,Italy,France,23,18,1
2013-02-09,14:30,Scotland,Italy,34,10,2
2013-02-09,17:00,France,Wales,6,16,2
2013-02-10,15:00,Ireland,England,6,12,2
2013-02-23,14:30,Italy,Wales,9,26,3
2013-02-23,17:00,England,France,23,13,3
2013-02-24,14:00,Scotland,Ireland,12,8,3
2013-03-09,14:30,Scotland,Wales,18,28,4
2013-03-09,17:00,Ireland,France,13,13,4
2013-03-10,15:00,England,Italy,18,11,4
2013-03-16,14:30,Italy,Ireland,22,15,5
2013-03-16,17:00,Wales,England,30,3,5
2013-03-16,20:00,France,Scotland,23,16,5
