user_id,fixture_id,homescore,awayscore
1,31,23,19
1,32,22,9
1,33,11,23
1,34,15,11
1,35,22,23
1,36,15,24
1,37,9,27
1,38,24,22
1,39,9,24
1,40,17,19
1,41,17,12
1,42,44,6
1,43,13,23
1,44,16,15
1,45,44,6
2,31,21,15
2,32,32,12
2,33,9,28
2,34,15,12
2,35,26,12
2,36,21,15
2,37,15,26
2,38,24,18
2,39,10,28
2,40,15,24
2,41,18,28
2,42,32,12
2,43,12,28
2,44,21,17
2,45,28,12
3,31,13,19
3,32,21,9
3,33,15,28
3,34,18,12
3,35,28,18
3,36,18,17
3,37,16,24
3,38,17,12
3,39,18,21
3,40,9,18
3,41,22,25
3,42,44,6
3,43,14,17
3,44,19,26
3,45,34,18
4,31,14,26
4,32,34,12
4,33,17,29
4,34,32,28
4,35,19,22
4,36,34,28
4,37,11,24
4,38,34,29
4,39,17,40
4,40,24,25
4,41,34,29
4,42,45,9
4,43,13,39
4,44,24,29
4,45,43,24
5,31,18,25
5,32,38,15
5,33,21,24
5,34,24,19
5,35,32,18
5,36,17,19
5,37,22,24
5,38,16,9
5,39,18,28
5,40,24,25
5,41,22,19
5,42,42,15
5,43,18,25
5,44,18,18
5,45,36,12
6,31,18,15
6,32,24,12
6,33,13,28
6,34,15,11
6,35,24,15
6,36,11,17
6,37,11,24
6,38,13,20
6,39,8,18
6,40,12,21
6,41,15,14
6,42,33,3
6,43,12,26
6,44,15,6
6,45,35,6
7,31,21,17
7,32,25,9
7,33,12,27
7,34,17,15
7,35,22,15
7,36,21,18
7,37,15,27
7,38,22,19
7,39,15,20
7,40,14,22
7,41,18,24
7,42,32,12
7,43,16,28
7,44,19,15
7,45,31,14
8,31,22,15
8,32,24,9
8,33,15,27
8,34,13,6
8,35,28,9
8,36,8,24
8,37,16,24
8,38,22,24
8,39,16,22
8,40,15,19
8,41,18,27
8,42,42,9
8,43,11,15
8,44,19,26
8,45,34,15
9,31,25,19
9,32,32,12
9,33,12,24
9,34,18,15
9,35,19,21
9,36,12,19
9,37,15,24
9,38,28,16
9,39,9,18
9,40,18,21
9,41,24,15
9,42,22,18
9,43,15,19
9,44,22,18
9,45,36,10
11,31,23,19
11,32,19,15
11,33,15,21
11,34,13,11
11,35,21,23
11,36,19,15
11,37,11,23
11,38,13,17
11,39,11,19
11,40,17,23
11,41,23,21
11,42,19,17
11,43,15,23
11,44,23,19
11,45,23,19
12,31,12,15
12,32,28,18
12,33,22,26
12,34,12,20
12,35,21,19
12,36,27,21
12,37,15,22
12,38,20,9
12,39,12,15
12,40,20,23
12,41,19,17
12,42,18,12
12,43,16,23
12,44,14,20
12,45,31,10
14,31,27,25
14,32,38,20
14,33,14,32
14,34,20,15
14,35,20,25
14,36,19,25
14,37,19,29
14,38,20,19
14,39,15,19
14,40,15,20
14,41,22,30
14,42,20,10
14,43,10,25
14,44,15,15
14,45,32,15
15,31,17,15
15,32,32,12
15,33,9,24
15,34,14,10
15,35,21,15
15,36,14,16
15,37,6,16
15,38,19,19
15,39,17,19
15,40,9,17
15,41,9,12
15,42,19,3
15,43,9,22
15,44,15,14
15,45,25,9
16,31,22,18
16,32,31,15
16,33,18,38
16,34,21,17
16,35,33,21
16,36,18,21
16,37,21,24
16,38,24,27
16,39,15,22
16,40,12,21
16,41,18,21
16,42,34,15
16,43,17,31
16,44,21,20
16,45,35,15
18,31,18,16
18,32,26,10
18,33,10,20
18,34,12,6
18,35,18,21
18,36,26,24
18,37,20,27
18,38,18,20
18,39,12,20
18,40,18,21
18,41,21,15
18,42,34,6
18,43,12,16
18,44,28,26
18,45,25,12
19,31,23,17
19,32,24,26
19,33,18,27
19,34,29,20
19,35,28,29
19,36,26,23
19,37,19,28
19,38,22,30
19,39,26,25
19,40,25,27
19,41,23,28
19,42,39,21
19,43,20,30
19,44,27,20
19,45,32,18
